Category & Name of the Shareholders,No. of shareholder,No. of fully paid up equity shares held,Total no. shares held,"Shareholding % calculated as per SCRR, 1957 As a % of (A+B+C2)",No. of Voting Rights,Total as a % of Total Voting right,No. of equity shares held in dematerialized form(Not Applicable),Script,ScriptCode,marketCap,No. of Shares Underlying Outstanding convertible securities (including Warrants),"Total shareholding , as a % assuming full conversion of convertible securities ( as a percentage of diluted share capital)",No.(a),As a % of total Shares held(b),Partly paid-up equity shares held,Total as a % of (A+B+C),Amount Invested (in Cr),Total Investment by Shareholder
Estate Of Late Mr. Rakesh Jhunjhunwala,1,6183620,6183620.0,7.23,6183620.0,7.23,6183620.0,NAZARA,543280,8477.31,,,,0.0,,,612.909513,17185.573885
Estate Of Late Mr. Rakesh Jhunjhunwala,1,20099400,20099400.0,7.2,20099400.0,7.2,20099400.0,GEOJITFSL,532285,2091.3,,,,,,,150.57360000000003,17185.573885
Estate Of Late Mr. Rakesh Jhunjhunwala,1,36172895,36172895.0,4.07,36172895.0,4.08,36172895.0,TITAN,500114,280860.03,,,,,,,11431.003221,17185.573885
Estate Of Late Mr. Rakesh Jhunjhunwala,1,2837005,2837005.0,1.75,2837005.0,1.75,2837005.0,WOCKPHARMA,532300,24635.87,,,,,,,431.127725,17185.573885
Estate Of Late Mr. Rakesh Jhunjhunwala,1,47770260,47770260.0,1.3,47770260.0,1.3,47770260.0,TATAMOTORS,500570,258732.38,,,,,,,3363.5209400000003,17185.573885
Estate Of Late Mr. Rakesh Jhunjhunwala,1,14523200,14523200.0,1.02,14523200.0,1.02,14523200.0,INDHOTEL,500850,117297.93,,,,0.0,,,1196.438886,17185.573885
REKHA JHUNJHUNWALA,1,66733266,66733266.0,10.63,66733266.0,10.63,66733266.0,NCC,500294,12936.78,,,,0.0,,,1375.179714,5591.67343
REKHA JHUNJHUNWALA,1,5000000,5000000.0,8.04,5000000.0,8.04,5000000.0,WABAG,533269,9424.34,,,,,,,757.7169359999999,5591.67343
REKHA JHUNJHUNWALA,1,4250000,4250000.0,6.89,4250000.0,6.89,4250000.0,SINGER,505729,354.64,,,,0.0,,,24.434696,5591.67343
REKHA JHUNJHUNWALA,1,2205704,2205704.0,4.8,2205704.0,4.8,2205704.0,RPEL,539837,2517.21,,,,,,,120.82608,5591.67343
